第四十一回刘玄德携民渡江赵子龙单骑救主	HỒI 41 Lưu Huyền Đức đưa dân qua sông; Triệu Tử Long một ngựa cứu chúa.
却说张飞因关公放了上流水，遂引军从下流杀将来，截住曹仁混杀。	Lại nói Trương Phi thấy nước ở thượng lưu đổ về, vội vàng đem quân lên chặn đường Tào Nhân, thì gặp ngay Hứa Chử đến.
忽遇许褚，便与交锋；许褚不敢恋战，夺路走脱。	Hai tướng giao phong, Hứa Chử không dám ham đánh, cướp đường chạy thoát.
张飞赶来，接着玄德、孔明，一同沿河到上流。	Trương Phi quay lại đuổi, gặp ngay Huyền Đức cùng Khổng Minh men bờ sông đi ngược lên.
刘封、糜芳已安排船只等候，遂一齐渡河，尽望樊城而去，孔明教将船筏放火烧毁。	Lưu Phong, My Phương đi sắp thuyền sẵn. Mọi người xuống cả đò sang sông, kéo về Phàn Thành. Khổng Minh sai đem thuyền bè đốt sạch.
却说曹仁收拾残军，就新野屯住，使曹洪去见曹操，具言失利之事。	Tào Nhân thu nhặt tàn quân, đóng ở tân Dã, sai Tào Hồng về ra mắt Tào Tháo, trình việc thua trận, Tháo nổi giận nói: - Gia Cát thôn phu, to gan thực!
操大怒曰：“诸葛村夫，安敢如此；”催动三军，漫山塞野，尽至新野下寨。 传令军士一面搜山，一面填塞白河。 令大军分作八路，一齐去取樊城。	Lập tức khởi ba quân đông như kiến cỏ, kéo đến Tân Dã đóng trại; rồi sai quân sĩ, một mặt kiểm soát trên núi, một mặt lấp sông Bạch Hà, đoạn chia đại quân làm tám đường, nhất tề đến lấy Phàn Thành.
刘晔曰：“丞相初至襄阳，必须先买民心，今刘备尽迁新野百姓入樊城，若我兵径进，二县为齑粉矣；不如先使人招降刘备。	Lưu Hoa can rằng: - Thừa tướng mới đến Tương Dương, trước hết hãy mua lấy lòng dân đã. Nay Huyền Đức dời hết cả dân Tân Dã vào Phàn Thành, nếu ta đến ngay thì dân hai huyện ra cám cả.
备即不降，亦可见我爱民之心；若其来降，则荆州之地，可不战而定也。”	Chi bằng, sai người chiêu hàng Lưu Bị dù Bị không hàng, mình cũng được cái tiếng là thương dân. Nếu BỊ hàng, thì có phải đất Kinh Châu không đánh cũng được không?
操从其言，便问：“谁可为使？”	Tháo nghe lời ấy, liền hỏi: - Ai đi sứ được?
刘晔曰：“徐庶与刘备至厚，今现在军中，何不命他一往？”	Lưu Hoa nói: - Từ Thứ rất thân với Lưu Bị, nay hắn cũng có mặt ở đây, sao không sai hắn đi một chuyến?
